IMDB_titleID,IMDB_rating,IMDB_title_name,netflix_type,netflix_title,netflix_director,netflix_cast,netflix_year,netflix_duration,netflix_genre,netflix_description
/title/tt5753806/,5.9 based on 617 user ratings, Cedric the Entertainer: Live from the Ville (2016) (TV Special) ,Movie,Cedric the Entertainer: Live from the Ville,Troy Miller,Cedric the Entertainer,2016,60 min,Stand-Up Comedy,"Donning his signature suit and fedora, the dapper comic offers a unique spin on getting old, the presidential election and ""Honky Tonk Badonkadonk."""
/title/tt1421373/,"8.5 based on 10,535 user ratings", Louis C.K.: Hilarious (2010) (TV Special) ,Movie,Louis C.K.: Hilarious,Louis C.K.,Louis C.K.,2010,84 min,Movies,"Emmy-winning comedy writer Louis C.K. brings his caustic wit to Milwaukee, offering up his unique and uncensored take on sex, parenting and more."
/title/tt3551954/,"6.9 based on 1,870 user ratings", Raiders!: The Story of the Greatest Fan Film Ever Made (2015) ,Movie,Raiders!: The Story of the Greatest Fan Film Ever Made,"Jeremy Coon, Tim Skousen",,2015,93 min,Documentaries,"Three childhood friends attempt to finish the pet project they've worked on for over 30 years: re-creating ""Raiders of the Lost Ark"" shot for shot."
/title/tt6073176/,"7.5 based on 6,733 user ratings", The White Helmets (2016) (Short) ,Movie,The White Helmets,Orlando von Einsiedel,,2016,41 min,Documentaries,"As daily airstrikes pound civilian targets in Syria, a group of indomitable first responders risk their lives to rescue victims from the rubble."
/title/tt2198333/,7.0 based on 591 user ratings, America's Book of Secrets (2012) (TV Series) ,TV Show,America's Book of Secrets,,Jonathan Adams,2014,1 Season,Docuseries,"This engaging documentary series shares the surprising backstories of familiar institutions like the Pentagon, West Point and the Playboy Mansion."
/title/tt9527662/,6.1 based on 92 user ratings, Bakugan: Battle Planet (2018) (TV Series) ,TV Show,Bakugan: Battle Planet,,"Jonah Wineberg, Deven Christian Mack, Margarita Valderrama, Ticoon Kim, Jason Deline, Will Bowes",2018,1 Season,"Anime Series, Kids' TV",Dan Kouzo and his pals bond with mysterious creatures known as Bakugan while fighting sinister forces out to control the world.
/title/tt6459472/,8.0 based on 767 user ratings, Cold Case Files (2017) (TV Series) ,TV Show,Cold Case Files,,,2017,1 Season,"Crime TV Shows, Docuseries",Masterful detectives utilize forensic science and criminal psychology to re-examine long-standing cases.
/title/tt10857582/,6.9 based on 119 user ratings, Los Tigres del Norte at Folsom Prison (2019) (TV Special) ,Movie,Los Tigres del Norte at Folsom Prison,Tom Donahue,Los Tigres del Norte,2019,64 min,"Documentaries, International Movies, Music & Musicals",The beloved norteño band Los Tigres del Norte performs for the inmates of Folsom Prison on the 50th anniversary of Johnny Cash's iconic concert.
/title/tt1492088/,"7.2 based on 14,798 user ratings", Pawn Stars (2009) (TV Series) ,TV Show,Pawn Stars,,"Corey Harrison, Richard Harrison, Rick Harrison, Austin ""Chumlee"" Russell",2010,1 Season,Reality TV,"Father Richard Harrison, son Rick and grandson Corey appraise an array of strange objects brought into their Gold & Silver Pawn Shop in Las Vegas."
/title/tt8385496/,"7.6 based on 3,488 user ratings", Surviving R. Kelly (2019) (TV Mini-Series) ,TV Show,Surviving R. Kelly,,R. Kelly,2019,1 Season,Docuseries,"In this documentary series on the tangled history of allegations against musician R. Kelly, women give detailed accounts of sexual and mental abuse."
